Designator,Part Number,PackageReference,Price,Quantity

"BQ1","90M327(N)","90SMX","","1"
"BQ2, BQ3","FXMJ-25.000-18, FXMJ-27.000-12","MJ0532","1$","2"
"C1, C20, C27, C31, C37, C39, C40, C41, C44, C46, C53","C0805C224K5RACTU, C0805C224K5RACTU, C0805C224K5RACTU, GRM21BR61E106KA73L, GRM21BR61E106KA73L, GRM21BR61E106KA73L, GRM21BR61E106KA73L, GRM21BR61E106KA73L, GRM21BR61E106KA73L, GRM21BR61E106KA73L, GRM21BR61E106KA73L","[NoValue], [NoValue], [NoValue], 0805, 0805, 0805, 0805, 0805, 0805, 0805, 0805","0.01$","11"
"C2, C3, C26, C45","GRM31CR61H106KA12L","1210","0.2$","4"
"C4, C5, C6, C7, C8, C9, C10, C12, C13, C14, C15, C16, C17, C18, C19, C23, C24, C25, C28, C30, C32, C33, C34, C35, C36, C38, C42, C43, C49, C50, C51, C52, C54, C55, C56, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106","0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC103KAT2A, 0603YC104KAT2A, 0603YC103KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC103KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, CC0603JRNPO9BN100, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, GRM1885C1H180JA01D, GRM1885C1H180JA01D, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC103KAT2A, 0603YC103KAT2A, 0603YC103KAT2A, 0603YC103KAT2A, 0603YC103KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, GRM1885C1H120JA01D, GRM1885C1H120JA01D, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A, 0603YC104KAT2A","0603","0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 1.00, 0.001$, 1.00, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.02$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$, 0.001$","78"
"C11, C21","C0805C104K5RACTU","0805","0.001$","2"
"C22, C57","CC0603JRNPO9BN101","0603","0.02$","2"
"C29","CC0603KRX7R9BB223","0603","0.01$","1"
"C47, C48, C58, C59, C94, C95, C96","0603YC105KAT2A, 0603YC105KAT2A, 0603YC105KAT2A, 0603YD105KAT2A, 0603YC105KAT2A, 0603YC105KAT2A, 0603YC105KAT2A","0603","0.001$","7"
"C93","EECS0HD224H","AXIAL 10","1$","1"
"DA","LM4667MM/NOPB","VSSOP-10","0.6$","1"
"DA1","LM317LIPK","SOT-89","0.1$","1"
"DA2","LM25575MH","HTSSOP-16","3.0$","1"
"DA3","AD8541ARTZ-REEL","SOT23-5","15.00","1"
"DA4","TPS61041","SOT-23-5","04$","1"
"DA5, DA6","TPS73718DCQ","SOT-89","0.1$","2"
"DA7","TC1044SEOA","SOIC-8","0.7$","1"
"DA9","USBDF01W5","SOT-323-5","0.5$","1"
"DA10, DA11","ASSR-1228-302E","PDIP-8 GULL","2.1$","2"
"DD1","STM32F746IG","LQFP144","0","1"
"DD2","TSC2007IPW","TSSOP-16","1$","1"
"DD3","PCF8563TS","TSSOP-8","1$","1"
"DD4","M95640-WDW6TP","TSSOP-8","0.25$","1"
"DD5","MT48LC16M16A2TG-7E I","TSOP-54","1$","1"
"DD6","NAND512W4A0BN6","TSOP48 20x12","1.5$","1"
"DD7","SN65C3221PWR","TSSOP-16","1.05$","1"
"DD8","ADM3483ARZ","SO-8 narrow","1.1$","1"
"DD9, DD10","SN65HVD234D","SO-8","1.5$","2"
"DD11","LM75BDP","TSSOP","0.4$","1"
"DD12","L26 Quectel","LLC 24","8$","1"
"DD13","TW8819-NA2-CRT","WFQFN","4.00$","1"
"FU1","SF-1206S050","","","1"
